Volcano Name ,Country,Latitude ,Longitude ,Elev 
Mauna Kea ,United States ,19.82,-155.47,4206
Mauna Loa ,United States ,19.475,-155.608,4170
Medicine Lake ,United States ,41.58,-121.57,2412
Moffett ,United States ,51.93,-176.75,1196
Mono Craters ,United States ,37.88,-119,2796
Mono Lake Volc Field ,United States ,38,-119.03,2121
NW Rota-1 ,United States ,14.601,144.775,-517
Newberry Volcano ,United States ,43.722,-121.229,2434
North Sister Field ,United States ,44.17,-121.77,3074
Novarupta ,United States ,58.27,-155.16,841
Nunivak Island ,United States ,60.02,-166.33,511
Ofu-Olosega ,United States ,-14.175,-169.618,639
Okmok ,United States ,53.42,-168.13,1073
Pagan ,United States ,18.13,145.8,570
Pavlof ,United States ,55.42,-161.9,2519
Pavlof Sister ,United States ,55.45,-161.87,2142
Rainier ,United States ,46.87,-121.758,4392
Recheschnoi ,United States ,53.15,-168.55,1984
Red Cones ,United States ,37.58,-119.05,2748
Redoubt ,United States ,60.48,-152.75,3108
Roundtop ,United States ,54.8,-163.6,1871
Ruby ,United States ,15.62,145.57,-230
Ruby ,United States ,15.617,145.567,-230
Sand Mountain Field ,United States ,44.38,-121.93,1664
Sanford ,United States ,62.22,-144.13,4949
Santa Clara ,United States ,37.257,-113.625,1465
Sarigan ,United States ,16.708,145.783,538
Sarigan ,United States ,16.708,145.78,538
Seamount X ,United States ,13.25,144.017,-1230
Seguam ,United States ,52.32,-172.52,1054
Segula ,United States ,52.02,178.13,1153
Semisopochnoi ,United States ,51.95,179.62,1221
Sergief ,United States ,52.03,-174.93,560
Shasta ,United States ,41.42,-122.2,4317
Shishaldin ,United States ,54.75,-163.97,2857
Shoshone Lava Field ,United States ,43.07,-114.43,1525
Snowy ,United States ,58.33,-154.68,2161
South Sister ,United States ,44.1,-121.77,3157
Spurr ,United States ,61.3,-152.25,3374
Squaw Ridge Field ,United States ,43.472,-120.754,1711
St. Helens ,United States ,46.2,-122.18,2549
St. Michael ,United States ,63.45,-162.12,715
Steamboat Springs ,United States ,39.375,-119.72,1415
Steller ,United States ,58.43,-154.4,2272
Stepovak Bay 3 ,United States ,55.929,-160.002,1555
Stepovak Bay 4 ,United States ,55.954,-159.954,1557
Sunset Crater ,United States ,35.37,-111.5,2447
Supply Reef ,United States ,20.13,145.1,-8
Ta'u ,United States ,-14.23,-169.454,931
Takawangha ,United States ,51.87,-178.02,1449
Tana ,United States ,52.833,-169.767,1170
Tanaga ,United States ,51.88,-178.13,1806
Tlevak Strait-Suemez Is. ,United States ,55.25,-133.3,50
Trident ,United States ,58.23,-155.08,1864
Tumble Buttes ,United States ,40.68,-121.55,2191
Twin Buttes ,United States ,40.78,-121.6,1631
Ubehebe Craters ,United States ,37.02,-117.45,752
Ugashik-Peulik ,United States ,57.75,-156.37,1474
Uinkaret Field ,United States ,36.38,-113.13,1555
Ukinrek Maars ,United States ,57.83,-156.52,91
Uliaga ,United States ,53.07,-169.77,888
Unnamed ,United States ,55.93,-160,1555
Unnamed ,United States ,20.3,143.2,0
Unnamed ,United States ,57.87,-155.42,300
Unnamed ,United States ,-3.03,147.78,-1300
Unnamed ,United States ,-14.23,-169.07,-650
Unnamed ,United States ,21,142.9,0
Unnamed ,United States ,21.75,-158.75,-3000
Unnamed ,United States ,23.58,-163.83,-4000
Unnamed ,United States ,20.3,143.2,
Unnamed ,United States ,52,-173.5,0
Unnamed ,United States ,21,142.9,
Veniaminof ,United States ,56.17,-159.38,2507
Vsevidof ,United States ,53.13,-168.68,2149
Wapi Lava Field ,United States ,42.88,-113.22,1604
West Crater ,United States ,45.88,-122.08,1329
Westdahl ,United States ,54.52,-164.65,1654
Wrangell ,United States ,62,-144.02,4317
Yantarni ,United States ,57.02,-157.18,1336
Yellowstone ,United States ,44.43,-110.67,2805
Yunaska ,United States ,52.63,-170.63,550
Zuni-Bandera ,United States ,34.8,-108,2550
